Run,Case,Dimensions,Naive CUDA (s),Tiled CUDA (s),Tiled CUDA Speedup vs. Naive CUDA (x)
1,0,64x64x64,0.138112,0.051328,2.69077
2,0,64x64x64,0.13872,0.051104,2.71446
3,0,64x64x64,0.173696,0.054624,3.17985
4,0,64x64x64,0.144576,0.052896,2.73321
5,0,64x64x64,0.14432,0.051968,2.77709
1,1,128x64x128,0.168672,0.058752,2.87091
2,1,128x64x128,0.183104,0.061312,2.98643
3,1,128x64x128,0.178656,0.062144,2.87487
4,1,128x64x128,0.183136,0.062816,2.91544
5,1,128x64x128,0.185632,0.060224,3.08236
1,2,100x128x56,0.1536,0.05248,2.92683
2,2,100x128x56,0.159136,0.054272,2.93219
3,2,100x128x56,0.156544,0.053856,2.90671
4,2,100x128x56,0.152576,0.055136,2.76727
5,2,100x128x56,0.153344,0.052544,2.91839
1,3,128x64x128,0.180224,0.061504,2.93028
2,3,128x64x128,0.18304,0.060736,3.0137
3,3,128x64x128,0.182944,0.061888,2.95605
4,3,128x64x128,0.187552,0.062112,3.01958
5,3,128x64x128,0.17872,0.06096,2.93176
1,4,32x128x32,0.14272,0.050368,2.83355
2,4,32x128x32,0.145056,0.047808,3.03414
3,4,32x128x32,0.143968,0.047904,3.00534
4,4,32x128x32,0.143872,0.048256,2.98143
5,4,32x128x32,0.148672,0.047872,3.10561
1,5,200x100x256,0.279296,0.099776,2.79923
2,5,200x100x256,0.280192,0.098976,2.83091
3,5,200x100x256,0.284192,0.117664,2.41528
4,5,200x100x256,0.281952,0.093152,3.02679
5,5,200x100x256,0.283872,0.104544,2.71534
1,6,256x256x256,0.329664,0.123904,2.66064
2,6,256x256x256,0.34944,0.142976,2.44405
3,6,256x256x256,0.290784,0.122272,2.37817
4,6,256x256x256,0.294304,0.114496,2.57043
5,6,256x256x256,0.291104,0.113792,2.55821
1,7,256x300x256,0.307584,0.133024,2.31224
2,7,256x300x256,0.302816,0.139488,2.17091
3,7,256x300x256,0.2896,0.136928,2.11498
4,7,256x300x256,0.299648,0.125664,2.38452
5,7,256x300x256,0.297664,0.126816,2.34721
1,8,64x128x64,0.137984,0.05168,2.66997
2,8,64x128x64,0.138944,0.052384,2.65241
3,8,64x128x64,0.140512,0.048736,2.88313
4,8,64x128x64,0.136512,0.050976,2.67797
5,8,64x128x64,0.137216,0.049632,2.76467
1,9,256x256x257,0.292096,0.111104,2.62903
2,9,256x256x257,0.293888,0.113376,2.59215
3,9,256x256x257,0.297472,0.11216,2.65221
4,9,256x256x257,0.295744,0.117952,2.50733
5,9,256x256x257,0.295552,0.115488,2.55916
